objectid,filename,title,description,subject,creator,source,rightsstatement,type,latitude,longitude,format,date,location,identifier,language,rights
GIB002000002001,https://archive.org/download/GIB002000002001/GIB002000002001.jpg,"Abbots Langley, Abbots Langley Nave - W.End C12 Arcade",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000002002,https://archive.org/download/GIB002000002002/GIB002000002002.jpg,"Abbots Langley, Abbots Langley C12+C13 Capitals. Scallop + Stiffleaf, W.end",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000002003,https://archive.org/download/GIB002000002003/GIB002000002003.jpg,"Abbots Langley, Abbots Langley CH Dec Chapel",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000002004,https://archive.org/download/GIB002000002004/GIB002000002004.jpg,"Abbots Langley, Dec Chapel E window C.1300, Abbots Langley",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000002005,https://archive.org/download/GIB002000002005/GIB002000002005.jpg,"Abbots Langley, Abbots Langley Dec Chapel Windows S.side- Splitcusps",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000002006,https://archive.org/download/GIB002000002006/GIB002000002006.jpg,"Abbots Langley, Font Painted Shield with trinity symbol",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000002007,https://archive.org/download/GIB002000002007/GIB002000002007.jpg,"Abbots Langley, Abbots Langley CH - Font with painted shields",In package titled: Abbots Langley. Latitude: 51.7078. Longitude: -0.41682333.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.7078,-0.41682,image/jpeg,,,,,
GIB002000003001,https://archive.org/download/GIB002000003001/GIB002000003001.jpg,"Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead], SS Philip + James N {north] Oxford GE Street 1800-66","In package titled: Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead]. Latitude: 51.764389. Longitude: -1.2639933.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.76439,-1.26399,image/jpeg,,,,,
GIB002000003002,https://archive.org/download/GIB002000003002/GIB002000003002.jpg,"Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead], St Stephen Hampstead -  S.S. Teulon 1869","In package titled: Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead]. Latitude: 51.553173. Longitude: -0.1683549.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.55317,-0.16835,image/jpeg,,,,,
GIB002000003004,https://archive.org/download/GIB002000003004/GIB002000003004.jpg,"Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead], Street CH Oxford","In package titled: Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead]. Latitude: 51.764389. Longitude: -1.2639933.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.76439,-1.26399,image/jpeg,,,,,
GIB002000003005,https://archive.org/download/GIB002000003005/GIB002000003005.jpg,"Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead], Street CH Oxford","In package titled: Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead]. Latitude: 51.764389. Longitude: -1.2639933.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.76439,-1.26399,image/jpeg,,,,,
GIB002000003006,https://archive.org/download/GIB002000003006/GIB002000003006.jpg,"Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead], Street CH Oxford, St Philip + James 1860-62","In package titled: Street + Teulon [S.S.Teulon]
Oxford, Torquay,  Hampst.[Hampstead]. Latitude: 51.764389. Longitude: -1.2639933.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.76439,-1.26399,image/jpeg,,,,,
GIB002000004001,https://archive.org/download/GIB002000004001/GIB002000004001.jpg,"St. Albans [Cathedral], St Albans. Nave Arcade",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004002,https://archive.org/download/GIB002000004002/GIB002000004002.jpg,"St. Albans [Cathedral], St. Albans Chap House Door",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004003,https://archive.org/download/GIB002000004003/GIB002000004003.jpg,"St. Albans [Cathedral], St Albans. Aerial Photo",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004004,https://archive.org/download/GIB002000004004/GIB002000004004.jpg,"St. Albans [Cathedral], St Alban's Abbey 1022",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004005,https://archive.org/download/GIB002000004005/GIB002000004005.jpg,"St. Albans [Cathedral], St Alban's Geometry",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004006,https://archive.org/download/GIB002000004006/GIB002000004006.jpg,"St. Albans [Cathedral], St Alban's 1978 Chapter House dig, looking west",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Archaeological,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004007,https://archive.org/download/GIB002000004007/GIB002000004007.jpg,"St. Albans [Cathedral], St Albans Chapter house dig destroyed wall",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Archaeological,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004008,https://archive.org/download/GIB002000004008/GIB002000004008.jpg,"St. Albans [Cathedral], Tomb St Alban, St Albans.",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004009,https://archive.org/download/GIB002000004009/GIB002000004009.jpg,"St. Albans [Cathedral], St Albans Chap House door area",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Archaeological,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004010,https://archive.org/download/GIB002000004010/GIB002000004010.jpg,"St. Albans [Cathedral], St Alban's Nave, Crucifixion 1275",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004011,https://archive.org/download/GIB002000004011/GIB002000004011.jpg,"St. Albans [Cathedral], St Albans 1077",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004012,https://archive.org/download/GIB002000004012/GIB002000004012.jpg,"St. Albans [Cathedral], Wall Painting St Alban's, Earliest c.1215",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004013,https://archive.org/download/GIB002000004013/GIB002000004013.jpg,"St. Albans [Cathedral], St Albans Abbey",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004014,https://archive.org/download/GIB002000004014/GIB002000004014.jpg,"St. Albans [Cathedral], Wall Painting St Alban's (poor focus)",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004015,https://archive.org/download/GIB002000004015/GIB002000004015.jpg,"St. Albans [Cathedral], St Albans Cathedral 151A7 Murals North Side of Nave",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004016,https://archive.org/download/GIB002000004016/GIB002000004016.jpg,"St. Albans [Cathedral], N.arcade St Albans 1022",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004017,https://archive.org/download/GIB002000004017/GIB002000004017.jpg,"St. Albans [Cathedral], St Albans",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000004018,https://archive.org/download/GIB002000004018/GIB002000004018.jpg,"St. Albans [Cathedral], St Albans Chap House Dig Med Floor",In package titled: St. Albans [Cathedral]. Latitude: 51.750433. Longitude: -0.34225255.,Archaeological,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75043,-0.34225,image/jpeg,,,,,
GIB002000005001,https://archive.org/download/GIB002000005001/GIB002000005001.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet, S.door Upper Part","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005002,https://archive.org/download/GIB002000005002/GIB002000005002.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet, S.door interior","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005003,https://archive.org/download/GIB002000005003/GIB002000005003.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet door protected wood","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005004,https://archive.org/download/GIB002000005004/GIB002000005004.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet door recons [reconstructed]","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005005,https://archive.org/download/GIB002000005005/GIB002000005005.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet cross","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005006,https://archive.org/download/GIB002000005006/GIB002000005006.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet door","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005007,https://archive.org/download/GIB002000005007/GIB002000005007.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet counter rebate","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005008,https://archive.org/download/GIB002000005008/GIB002000005008.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet Adam + Eve","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005009,https://archive.org/download/GIB002000005009/GIB002000005009.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet S.Door","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005011,https://archive.org/download/GIB002000005011/GIB002000005011.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet Boat + Giant","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005012,https://archive.org/download/GIB002000005012/GIB002000005012.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet S.Door","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005013,https://archive.org/download/GIB002000005013/GIB002000005013.jpg,"Stillingfleet
Staplehurst
Heybridge, Stillingfleet Boat","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 53.861891. Longitude: -1.0994402.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,53.86189,-1.09944,image/jpeg,,,,,
GIB002000005014,https://archive.org/download/GIB002000005014/GIB002000005014.jpg,"Stillingfleet
Staplehurst
Heybridge, Staplehurst S.door","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 51.158178. Longitude: 0.55308089.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.15818,0.553081,image/jpeg,,,,,
GIB002000005015,https://archive.org/download/GIB002000005015/GIB002000005015.jpg,"Stillingfleet
Staplehurst
Heybridge, Staplehurst S.door","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 51.158178. Longitude: 0.55308089.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.15818,0.553081,image/jpeg,,,,,
GIB002000005016,https://archive.org/download/GIB002000005016/GIB002000005016.jpg,"Stillingfleet
Staplehurst
Heybridge, Staplehurst S.door from inside","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 51.158178. Longitude: 0.55308089.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.15818,0.553081,image/jpeg,,,,,
GIB002000005017,https://archive.org/download/GIB002000005017/GIB002000005017.jpg,"Stillingfleet
Staplehurst
Heybridge, Staplehurst CH S.door","In package titled: Stillingfleet
Staplehurst
Heybridge. Latitude: 51.158178. Longitude: 0.55308089.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.15818,0.553081,image/jpeg,,,,,
GIB002000006006,https://archive.org/download/GIB002000006006/GIB002000006006.jpg,"Reigate Quarry
Mertsham [St Katharines Church], Mertsham CH W.door E.E Reigate Stone","In package titled: Reigate Quarry
Mertsham [St Katharines Church]. Latitude: 51.268736. Longitude: -0.15192166.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.26874,-0.15192,image/jpeg,,,,,
GIB002000007001,https://archive.org/download/GIB002000007001/GIB002000007001.jpg,"Northampton 
St. Peter's Church Marefair, Northants [Northampton] - St Peters Marefair","In package titled: Northampton 
St. Peter's Church Marefair. Latitude: 52.236471. Longitude: -0.90343907.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,52.23647,-0.90344,image/jpeg,,,,,
GIB002000007002,https://archive.org/download/GIB002000007002/GIB002000007002.jpg,"Northampton 
St. Peter's Church Marefair, Northants  [Northampton] - St Peters Marefair","In package titled: Northampton 
St. Peter's Church Marefair. Latitude: 52.236471. Longitude: -0.90343907.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,52.23647,-0.90344,image/jpeg,,,,,
GIB002000007003,https://archive.org/download/GIB002000007003/GIB002000007003.jpg,"Northampton 
St. Peter's Church Marefair, Northants  [Northampton] - St Peters Marefair","In package titled: Northampton 
St. Peter's Church Marefair. Latitude: 52.236471. Longitude: -0.90343907.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,52.23647,-0.90344,image/jpeg,,,,,
GIB002000007004,https://archive.org/download/GIB002000007004/GIB002000007004.jpg,"Northampton 
St. Peter's Church Marefair, Northants  [Northampton] - St Peters Marefair","In package titled: Northampton 
St. Peter's Church Marefair. Latitude: 52.236471. Longitude: -0.90343907.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,52.23647,-0.90344,image/jpeg,,,,,
GIB002000007005,https://archive.org/download/GIB002000007005/GIB002000007005.jpg,"Northampton 
St. Peter's Church Marefair, Northants  [Northampton] - St Peters Marefair","In package titled: Northampton 
St. Peter's Church Marefair. Latitude: 52.236471. Longitude: -0.90343907.",Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,52.23647,-0.90344,image/jpeg,,,,,
GIB002000008001,https://archive.org/download/GIB002000008001/GIB002000008001.jpg,"Bibury Ch. [St Mary's Church], Bibury 'Wool' Tombs",In package titled:  Bibury Ch. [St Mary's Church]. Latitude: 51.757174. Longitude: -1.8301436.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75717,-1.83014,image/jpeg,,,,,
GIB002000008002,https://archive.org/download/GIB002000008002/GIB002000008002.jpg,"Bibury Ch. [St Mary's Church], Bibury Nave Roof",In package titled:  Bibury Ch. [St Mary's Church]. Latitude: 51.757174. Longitude: -1.8301436.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75717,-1.83014,image/jpeg,,,,,
GIB002000008003,https://archive.org/download/GIB002000008003/GIB002000008003.jpg,"Bibury Ch. [St Mary's Church], Bibury Chane Arch",In package titled:  Bibury Ch. [St Mary's Church]. Latitude: 51.757174. Longitude: -1.8301436.,Religious,"Gibson, Adrian, 1931-2006","Welsh School of Architecture, Cardiff University",http://creativecommons.org/licenses/by/4.0/,image,51.75717,-1.83014,image/jpeg,,,,,
